1,2,3,4,5,6,7,8,9,10,11
131,139,130,138,146,151,141,139,142,135,121
127,144,146,146,142,138,128,124,125,125,118
119,140,142,133,122,121,123,136,154,169,160
122,139,161,166,167,170,164,166,167,164,160
172,183,191,187,184,182,168,158,160,160,165
174,163,157,154,155,160,162,162,164,163,161
114,103,70,80,91,138,165,165,169,166,161
64,63,46,58,76,123,169,163,157,163,159
51,58,49,55,71,107,159,169,156,160,154
51,55,44,51,63,96,151,159,165,161,155
52,57,56,56,60,82,146,160,158,166,160
